0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1979.486.1,1980.264.5,67.265.9,67.265.10,67.265.11,67.265.12,67.265.13,67.265.14,67.265.15,1979.486.3,1979.486.2,1979.486.7,1979.486.4,1979.486.5,16.74.49,16.74.27,16.74.28,16.74.29,16.74.30,16.74.31
1979,1980,1967,1967,1967,1967,1967,1967,1967,1979,1979,1979,1979,1979,1916,1916,1916,1916,1916,1916
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
164292,1079,,,,,,,,1080,1079,164292,1080,1079,,,,,,
Maker,Maker,,,,,,,,Maker,Maker,Maker,Maker,Maker,,,,,,
James Barton Longacre,Christian Gobrecht,,,,,,,,Bela Lyon Pratt,Christian Gobrecht,James Barton Longacre,Bela Lyon Pratt,Christian Gobrecht,,,,,,
http://vocab.getty.edu/page/ulan/500011409,http://vocab.getty.edu/page/ulan/500077295,,,,,,,,http://vocab.getty.edu/page/ulan/500095555,http://vocab.getty.edu/page/ulan/500077295,http://vocab.getty.edu/page/ulan/500011409,http://vocab.getty.edu/page/ulan/500095555,http://vocab.getty.edu/page/ulan/500077295,,,,,,
https://www.wikidata.org/wiki/Q3806459,https://www.wikidata.org/wiki/Q5109648,,,,,,,,https://www.wikidata.org/wiki/Q4881787,https://www.wikidata.org/wiki/Q5109648,https://www.wikidata.org/wiki/Q3806459,https://www.wikidata.org/wiki/Q4881787,https://www.wikidata.org/wiki/Q5109648,,,,,,
,,,,,,,,,,,,,,,,,,,
The American Wing,The American Wing,The American Wing,The American Wing,The American Wing,The American Wing,The American Wing,The American Wing,The American Wing,The American Wing,The American Wing,The American Wing,The American Wing,The American Wing,The American Wing,The American Wing,The American Wing,The American Wing,The American Wing,The American Wing
Coin,Coin,Coin,Coin,Coin,Coin,Coin,Coin,Coin,Coin,Coin,Coin,Coin,Coin,Coin,Peso,Peso,Peso,Peso,Peso
One-dollar Liberty Head Coin,Ten-dollar Liberty Head Coin,Two-and-a-Half Dollar Coin,Two-and-a-Half Dollar Coin,Two-and-a-Half Dollar Coin,Two-and-a-Half Dollar Coin,Two-and-a-Half Dollar Coin,Two-and-a-Half Dollar Coin,Two-and-a-Half Dollar Coin,Two-and-a-half-dollar Indian Head Coin,Two-and-a-half-dollar Liberty Head Coin,Twenty-dollar Liberty Head Coin,Five-dollar Indian Head Coin,Five-dollar Liberty Head Coin,"Coin, 1/2 Real","Coin, 1/4 Peso","Coin, 1/4 Peso","Coin, 1/4 Peso","Coin, 1/4 Peso","Coin, 1/4 Peso"
,,,,,,,,,,,,,,Mexican,Mexican,Mexican,Mexican,Mexican,Mexican
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Maker,Maker,,,,,,,,Maker,Maker,Maker,Maker,Maker,,,,,,
,,,,,,,,,,,,,,,,,,,
James Barton Longacre,Christian Gobrecht,,,,,,,,Bela Lyon Pratt,Christian Gobrecht,James Barton Longacre,Bela Lyon Pratt,Christian Gobrecht,,,,,,
"American, Delaware County, Pennsylvania 1794–1869 Philadelphia, Pennsylvania",1785–1844,,,,,,,,1867–1917,1785–1844,"American, Delaware County, Pennsylvania 1794–1869 Philadelphia, Pennsylvania",1867–1917,1785–1844,,,,,,
,,,,,,,,,,,,,,,,,,,
"Longacre, James Barton","Gobrecht, Christian",,,,,,,,"Pratt, Bela Lyon","Gobrecht, Christian","Longacre, James Barton","Pratt, Bela Lyon","Gobrecht, Christian",,,,,,
American,,,,,,,,,,,American,,,,,,,,
1794,1785,,,,,,,,1867,1785,1794,1867,1785,,,,,,
1869,1844,,,,,,,,1917,1844,1869,1917,1844,,,,,,
,,,,,,,,,,,,,,,,,,,
https://www.wikidata.org/wiki/Q3806459,https://www.wikidata.org/wiki/Q5109648,,,,,,,,https://www.wikidata.org/wiki/Q4881787,https://www.wikidata.org/wiki/Q5109648,https://www.wikidata.org/wiki/Q3806459,https://www.wikidata.org/wiki/Q4881787,https://www.wikidata.org/wiki/Q5109648,,,,,,
http://vocab.getty.edu/page/ulan/500011409,http://vocab.getty.edu/page/ulan/500077295,,,,,,,,http://vocab.getty.edu/page/ulan/500095555,http://vocab.getty.edu/page/ulan/500077295,http://vocab.getty.edu/page/ulan/500011409,http://vocab.getty.edu/page/ulan/500095555,http://vocab.getty.edu/page/ulan/500077295,,,,,,
1853,1901,1909–27,1909–27,1909–27,1909–27,1909–27,1909–27,1909–27,1912,1907,1876,1910,1907,1665–1700,1800–1900,1867,1860,1859,1860
1853,1901,1909,1909,1909,1909,1909,1909,1909,1912,1907,1876,1910,1907,1665,1800,1867,1860,1859,1860
1853,1901,1927,1927,1927,1927,1927,1927,1927,1912,1907,1876,1910,1907,1700,1900,1867,1860,1859,1860
Gold,Gold,Gold,Gold,Gold,Gold,Gold,Gold,Gold,Gold,Gold,Gold,Gold,Gold,Silver,Bronze or copper,Bronze or copper,Bronze or copper,Bronze or copper,Bronze or copper
Dimensions unavailable,Dimensions unavailable,Diam. 11/16 in. (1.7 cm),Diam. 11/16 in. (1.7 cm),Diam. 11/16 in. (1.7 cm),Diam. 11/16 in. (1.7 cm),Diam. 11/16 in. (1.7 cm),Diam. 11/16 in. (1.7 cm),Diam. 11/16 in. (1.7 cm),Dimensions unavailable,Dimensions unavailable,Dimensions unavailable,Dimensions unavailable,Dimensions unavailable,Diam. 1/2 in. (1.3 cm),Diam. 1 1/8 in. (2.9 cm),Diam. 1 1/8 in. (2.9 cm),Diam. 1 1/8 in. (2.9 cm),Diam. 1 1/8 in. (2.9 cm),Diam. 1 1/8 in. (2.9 cm)
,,,,,,,,,,,,,,,,,,,
